================================================================
======== Log Rotated - 2026/03/23, 00:00:00                     
[01:55:32] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:55:35] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:55:41] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:55:53] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:56:05] [aGhEF#3] Joshua Sprigs: said "/cler"
[01:56:13] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:59:06] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:59:14] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:59:19] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:59:41] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[01:59:44] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[02:01:33] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[02:01:40] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[02:01:44] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[02:04:33] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[02:04:39] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[02:04:46] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[02:04:52] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[02:04:59] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[02:25:01] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[02:25:05] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[02:25:20] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[02:25:51] [aGhEF#3] Joshua Sprigs: said "/-openInventory"
[02:26:00] [aGhEF#3] Joshua Sprigs: disconnected (Exiting)
[02:27:14] [aGhEF#4] Joshua Sprigs: joined with identifiers [license:7df1…5909, xbl:2535…2995, live:1055…0914, discord:5336…1534, fivem:2412049, license2:da0e…971c]
[02:27:35] [aGhEF#4] Joshua Sprigs: said "/-openInventory"
[02:27:44] [aGhEF#4] Joshua Sprigs: said "/-openInventory"
[02:35:38] [aGhEF#4] Joshua Sprigs: said "/-openInventory"
[02:35:45] [aGhEF#4] Joshua Sprigs: disconnected (Server->client connection timed out. Last seen 124 msec ago.)
[02:36:09] [aGhEF#5] Joshua Sprigs: joined with identifiers [license:7df1…5909, xbl:2535…2995, live:1055…0914, discord:5336…1534, fivem:2412049, license2:da0e…971c]
[02:36:23] [aGhEF#5] Joshua Sprigs: said "/-openInventory"
[02:38:38] [aGhEF#5] Joshua Sprigs: said "/-openInventory"
[02:38:45] [aGhEF#5] Joshua Sprigs: said "/-openInventory"
[02:38:48] [aGhEF#5] Joshua Sprigs: said "/-openInventory"
[02:38:51] [aGhEF#5] Joshua Sprigs: said "/-openInventory"
[02:38:57] [aGhEF#5] Joshua Sprigs: said "/-openInventory"
[02:39:19] [aGhEF#5] Joshua Sprigs: said "/-openInventory"
[02:39:22] [aGhEF#5] Joshua Sprigs: said "/-openInventory"
[02:46:38] [aGhEF#5] Joshua Sprigs: said "/-openInventory"
[02:46:43] [aGhEF#5] Joshua Sprigs: said "/-openInventory"
[02:46:48] [aGhEF#5] Joshua Sprigs: said "/-openInventory"
